Participant, Trial, Date, Time, Milliseconds Since Trial Start, X Gravity, Y Gravity, Z Gravity, X Gravity Raw, Y Gravity Raw, Z Gravity Raw, Delta Time, 
97 second part, 6, 27/11/2018, 15:55:31, 1567.856, -0.11189477390916, -0.32995366570114, -0.91473936103777, -0.12132263183594, -0.33233642578125, -0.90547180175781, 0.010072000000036, 
97 second part, 6, 27/11/2018, 15:55:31, 1577.858, -0.11303439808074, -0.32990507647477, -0.91405521985587, -0.123291015625, -0.3294677734375, -0.90789794921875, 0.010071000000153, 
97 second part, 6, 27/11/2018, 15:55:31, 1588.233, -0.11427520876095, -0.32992543308511, -0.91390335997966, -0.12544250488281, -0.33010864257812, -0.91253662109375, 0.010071000000153, 
97 second part, 6, 27/11/2018, 15:55:31, 1598.887, -0.11522561757235, -0.33005514319457, -0.91402455962622, -0.123779296875, -0.33122253417969, -0.91511535644531, 0.010070999999698, 
97 second part, 6, 27/11/2018, 15:55:31, 1608.097, -0.11629155679168, -0.33008948483214, -0.91418704506985, -0.12588500976562, -0.33039855957031, -0.9156494140625, 0.010089791666815, 
97 second part, 6, 27/11/2018, 15:55:31, 1618.757, -0.11737602415939, -0.33003646896611, -0.91426919505505, -0.12713623046875, -0.32955932617188, -0.91500854492188, 0.010072000000036, 
97 second part, 6, 27/11/2018, 15:55:31, 1628.391, -0.11837951061064, -0.33007878154216, -0.91430650894799, -0.12741088867188, -0.33045959472656, -0.91464233398438, 0.010069999999814, 
97 second part, 6, 27/11/2018, 15:55:31, 1638.763, -0.11921398386598, -0.33007108649341, -0.91416766713522, -0.12672424316406, -0.33000183105469, -0.91291809082031, 0.010071000000153, 
97 second part, 6, 27/11/2018, 15:55:32, 1648.64, -0.11988261233485, -0.33001380694563, -0.91365666214045, -0.12590026855469, -0.32949829101562, -0.9090576171875, 0.010071000000153, 
97 second part, 6, 27/11/2018, 15:55:32, 1658.882, -0.12027228078886, -0.32981577097763, -0.91372471174671, -0.123779296875, -0.32803344726562, -0.91433715820312, 0.010041999999885, 
97 second part, 6, 27/11/2018, 15:55:32, 1668.994, -0.12025219382326, -0.32968331497362, -0.91391565609939, -0.12007141113281, -0.3284912109375, -0.91563415527344, 0.01006899999993, 
97 second part, 6, 27/11/2018, 15:55:32, 1678.93, -0.12035008235109, -0.32950612117157, -0.91439725943476, -0.12123107910156, -0.32791137695312, -0.91873168945312, 0.010069999999814, 
97 second part, 6, 27/11/2018, 15:55:32, 1688.913, -0.12046717372536, -0.32923525758957, -0.91488715995613, -0.12152099609375, -0.32679748535156, -0.91929626464844, 0.010072000000036, 
97 second part, 6, 27/11/2018, 15:55:32, 1699.499, -0.12062748760282, -0.32912423183061, -0.91500000646052, -0.1220703125, -0.328125, -0.916015625, 0.010070000000269, 
97 second part, 6, 27/11/2018, 15:55:32, 1710.371, -0.12055051765113, -0.32891902300302, -0.91493677339259, -0.11985778808594, -0.32707214355469, -0.91436767578125, 0.010041000000001, 
97 second part, 6, 27/11/2018, 15:55:32, 1720.195, -0.12043852008524, -0.32884725009725, -0.91479594029161, -0.11943054199219, -0.32820129394531, -0.91352844238281, 0.010070999999698, 
97 second part, 6, 27/11/2018, 15:55:32, 1729.885, -0.12008747813531, -0.32878875799768, -0.91465545759058, -0.11692810058594, -0.32826232910156, -0.91339111328125, 0.010084000000006, 
97 second part, 6, 27/11/2018, 15:55:32, 1739.486, -0.1199744822749, -0.32869644225651, -0.91458548067917, -0.11895751953125, -0.32786560058594, -0.91395568847656, 0.010043000000223, 
97 second part, 6, 27/11/2018, 15:55:32, 1749.765, -0.11956913609819, -0.32874916131211, -0.91469950341204, -0.11592102050781, -0.3292236328125, -0.91572570800781, 0.010067000000163, 
97 second part, 6, 27/11/2018, 15:55:32, 1759.551, -0.11903647785947, -0.32909415484886, -0.91493029769974, -0.11424255371094, -0.33219909667969, -0.91700744628906, 0.010082999999668, 
97 second part, 6, 27/11/2018, 15:55:32, 1769.775, -0.1184075493118, -0.32944889952023, -0.91520667710945, -0.11274719238281, -0.3326416015625, -0.91769409179688, 0.010076000000026, 
97 second part, 6, 27/11/2018, 15:55:32, 1780.113, -0.11790712641187, -0.32981242021274, -0.91513345812898, -0.1134033203125, -0.33308410644531, -0.91447448730469, 0.01006899999993, 
97 second part, 6, 27/11/2018, 15:55:32, 1789.742, -0.11773445576287, -0.33014264059381, -0.91490124024577, -0.11618041992188, -0.33311462402344, -0.91281127929688, 0.010043000000223, 
97 second part, 6, 27/11/2018, 15:55:32, 1799.934, -0.11744477483502, -0.33024300055786, -0.91425279102588, -0.11483764648438, -0.33114624023438, -0.90841674804688, 0.010069999999814, 
97 second part, 6, 27/11/2018, 15:55:32, 1810.434, -0.11731223582808, -0.33056373224036, -0.91369360079048, -0.11611938476562, -0.33345031738281, -0.90866088867188, 0.01007299999992, 
97 second part, 6, 27/11/2018, 15:55:32, 1821.048, -0.1168175845109, -0.33070285462179, -0.91333986571143, -0.11236572265625, -0.33195495605469, -0.91015625, 0.010071000000153, 
97 second part, 6, 27/11/2018, 15:55:32, 1831.013, -0.11639833826684, -0.33067089923774, -0.91321529076138, -0.11262512207031, -0.33038330078125, -0.91209411621094, 0.010052999999971, 
97 second part, 6, 27/11/2018, 15:55:32, 1840.554, -0.11577687602219, -0.33080693431396, -0.91342513375556, -0.11018371582031, -0.33203125, -0.91531372070312, 0.010078000000249, 
97 second part, 6, 27/11/2018, 15:55:32, 1850.284, -0.11543423480669, -0.33064250064819, -0.91376200270422, -0.11235046386719, -0.32916259765625, -0.91679382324219, 0.010078999999678, 
97 second part, 6, 27/11/2018, 15:55:32, 1860.706, -0.11509839189243, -0.33040295761462, -0.91439324872286, -0.11207580566406, -0.3282470703125, -0.92007446289062, 0.010044000000107, 
97 second part, 6, 27/11/2018, 15:55:32, 1870.628, -0.11480376266412, -0.3299890046266, -0.91477521291307, -0.11215209960938, -0.32626342773438, -0.918212890625, 0.010078000000249, 
97 second part, 6, 27/11/2018, 15:55:32, 1880.655, -0.11468508073365, -0.32963933512097, -0.91489009884833, -0.11361694335938, -0.32649230957031, -0.91592407226562, 0.010070999999698, 
97 second part, 6, 27/11/2018, 15:55:32, 1890.832, -0.11500246133216, -0.32935667602293, -0.91490194345568, -0.11785888671875, -0.32681274414062, -0.91500854492188, 0.010072000000036, 
97 second part, 6, 27/11/2018, 15:55:32, 1900.976, -0.11508363609738, -0.32930217297142, -0.91465167830933, -0.11581420898438, -0.32881164550781, -0.91239929199219, 0.010051000000203, 
97 second part, 6, 27/11/2018, 15:55:32, 1910.769, -0.11527418606186, -0.32950946788131, -0.91416093674793, -0.11698913574219, -0.33137512207031, -0.90974426269531, 0.010078999999678, 
